time,x,y
1.043400002121966e6,0.692,1.28
1.0435000088133598e6,0.712,1.064
1.0436000005366119e6,0.676,1.112
1.0437000007771224e6,0.734,1.248
1.0438000038474505e6,0.772,1.128
1.043900000260684e6,0.698,1.128
1.0440000006721512e6,0.85,1.06
1.0441000021443017e6,0.678,0.882
1.0442000032914911e6,0.724,0.872
1.0443000026768409e6,0.752,0.996
1.0444000031786106e6,0.76,1.188
1.044500000411981e6,0.742,0.908
1.0446000010890539e6,0.836,1.162
1.0447000013632321e6,0.876,1.376
1.0448000011374038e6,0.724,0.902
1.0449000022683404e6,0.764,0.956
1.0450000031812293e6,0.796,1.252
1.0451000016314733e6,0.674,0.996
1.045200000473655e6,0.824,0.98
1.0453000006157066e6,0.774,1.014
1.0454000013526054e6,0.642,0.858
1.045500001104681e6,0.752,1.208
1.0456000027064423e6,0.716,1.16
1.0457000024325709e6,0.838,1.076
1.0458000000821046e6,0.82,1.012
1.0459000024933425e6,0.754,1.078
1.046000005178457e6,0.726,1.158
1.0461000031598156e6,0.766,1.128
1.0462000174027375e6,0.732,0.962
1.0463000017584722e6,0.628,0.988
1.0464000028711176e6,0.798,1.322
1.0465000172303517e6,0.654,0.84
1.0466000005669302e6,0.788,1.304
1.0467000029917471e6,0.686,1.316
1.0468000013762463e6,0.718,1.166
1.0469000004626089e6,0.73,1.122
1.0470000003577466e6,0.716,0.99
1.0471000019257175e6,0.698,1.154
1.0472000020788634e6,0.748,1.082
1.0473000008300364e6,0.778,1.116
1.0474000000500679e6,0.796,1.126
1.047500002339247e6,0.894,1.168
1.0476000010810194e6,0.718,1.182
1.0477000024097913e6,0.706,0.794
1.0478000010600149e6,0.692,1.224
1.047900001950057e6,0.75,1.02
1.0480000048996707e6,0.648,0.956
1.0481000039591535e6,0.884,1.11
1.0482000034736979e6,0.666,0.992
1.0483000000607412e6,0.67,1.042
1.0484000008489927e6,0.692,0.912
1.0485000055003441e6,0.776,1.104
1.0486000042900464e6,0.918,1.036
1.0487000001544678e6,0.768,0.87
1.0488000015124711e6,0.794,1.064
1.0489000049729557e6,0.666,0.944
1.0490000000774711e6,0.762,1.194
1.0491000003603622e6,0.964,1.45
1.049200007580015e6,0.728,0.954
1.0493000065731474e6,0.696,1.126
1.0494000005530084e6,0.7,1.152
1.049500000017737e6,0.742,0.984
1.0496000026468968e6,0.81,1.17
1.049700000279955e6,0.756,0.898
1.0498000113741744e6,0.724,1.02
1.0499000004908193e6,0.784,1.074
1.050000000336344e6,0.756,1.038
1.0501000045084108e6,0.692,1.048
1.0502000001851518e6,0.812,1.198
1.0503000045884068e6,0.678,1.1
1.0504000009783588e6,0.61,0.898
1.0505000010960144e6,0.718,0.934
1.0506000022678098e6,0.652,1.072
1.0507000137293257e6,0.694,1.082
1.0508000048174767e6,0.65,0.89
1.0509000034891455e6,0.74,1.128
1.0510000008861804e6,0.69,1.04
1.0511000059817224e6,0.786,1.002
1.0512000016446938e6,0.772,1.108
1.051300001368527e6,0.806,1.02
1.0514000005868936e6,0.824,1.2
1.051500017064387e6,0.654,0.93
1.0516000128932325e6,0.864,1.01
1.0517000005641745e6,0.812,0.988
1.0518000005538932e6,0.724,1.064
